frame,id,cx,cy,w,h
964,100,1214,394,16,16
965,100,1218,398,16,16
966,100,1223,402,16,16
967,100,1227,406,16,16
968,100,1231,410,16,16
969,100,1235,414,16,16
970,100,1239,418,16,16
971,100,1244,422,16,16
972,100,1248,426,16,16
973,100,1252,430,16,16
974,100,1256,434,16,16
975,100,1260,438,16,16
976,100,1265,442,16,16
977,100,1269,446,16,16
978,100,1273,450,16,16
979,100,1277,454,16,16
980,100,1281,458,16,16
981,100,1286,462,16,16
982,100,1290,466,16,16
983,100,1294,470,16,16
984,100,1298,474,16,16
985,100,1302,478,16,16
986,100,1307,482,16,16
987,100,1311,486,16,16
988,100,1315,490,16,16
989,100,1319,494,16,16
990,100,1323,498,16,16
991,100,1328,502,16,16
992,100,1332,506,16,16
993,100,1336,510,16,16
994,100,1340,514,16,16
995,100,1344,518,16,16
996,100,1349,522,16,16
997,100,1353,526,16,16
998,100,1357,530,16,16
999,100,1361,534,16,16
1000,100,1365,538,16,16
1001,100,1370,542,16,16
1002,100,1374,546,16,16
1003,100,1378,550,16,16
1004,100,1382,554,16,16
1005,100,1386,558,16,16
1006,100,1391,562,16,16
1007,100,1395,566,16,16
1008,100,1399,570,16,16
1009,100,1403,574,16,16
1010,100,1407,578,16,16
1011,100,1412,582,16,16
1012,100,1416,586,16,16
1013,100,1420,590,16,16
1014,100,1424,594,16,16
1015,100,1429,598,16,16
1016,100,1433,602,16,16
1017,100,1437,606,16,16
1018,100,1441,610,16,16
1019,100,1445,614,16,16
1020,100,1450,618,16,16
1021,100,1454,622,16,16
1022,100,1458,626,16,16
1023,100,1462,630,16,16
1024,100,1466,634,16,16
1025,100,1471,638,16,16
1026,100,1475,642,16,16
1027,100,1479,646,16,16
1028,100,1483,650,16,16
1029,100,1487,654,16,16
1030,100,1492,658,16,16
1031,100,1496,662,16,16
1032,100,1500,666,16,16
1033,100,1504,670,16,16
1034,100,1508,674,16,16
1035,100,1513,678,16,16
1036,100,1517,682,16,16
1037,100,1521,686,16,16
1038,100,1525,690,16,16
1039,100,1529,694,16,16
1040,100,1534,698,16,16
1041,100,1538,702,16,16
1042,100,1542,706,16,16
1043,100,1546,710,16,16
1044,100,1550,714,16,16
1045,100,1555,718,16,16
1046,100,1559,722,16,16
1047,100,1563,726,16,16
1048,100,1567,730,16,16
